Date,Price,Open,High,Low,Change
2014-01-01,1.3754,1.3742,1.3769,1.3742,0.0006
2014-01-02,1.3672,1.3756,1.3777,1.363,-0.006
2014-01-03,1.3588,1.3672,1.3674,1.3582,-0.0061
2014-01-06,1.3628,1.3589,1.3653,1.3571,0.0029
2014-01-07,1.3616,1.3627,1.3657,1.3596,-0.0009
2014-01-08,1.3575,1.3617,1.3636,1.3554,-0.003
2014-01-09,1.3609,1.3577,1.3636,1.355,0.0025
2014-01-10,1.367,1.3609,1.3689,1.3577,0.0045
2014-01-13,1.3672,1.3669,1.3685,1.3637,0.0001
2014-01-14,1.3679,1.367,1.3699,1.3648,0.0005
2014-01-15,1.3605,1.368,1.3684,1.3582,-0.0054
2014-01-16,1.362,1.3604,1.365,1.3582,0.0011
2014-01-17,1.3541,1.362,1.3623,1.3517,-0.0058
2014-01-20,1.3552,1.3543,1.357,1.3508,0.0008
2014-01-21,1.3561,1.3552,1.3571,1.3518,0.0007
2014-01-22,1.3548,1.3559,1.3584,1.3535,-0.001
2014-01-23,1.3695,1.3547,1.3699,1.353,0.0109
2014-01-24,1.3678,1.3697,1.3741,1.3665,-0.0012
2014-01-27,1.3672,1.3677,1.3718,1.3654,-0.0004
2014-01-28,1.3669,1.3673,1.3689,1.3629,-0.0002
2014-01-29,1.3663,1.3668,1.3685,1.3603,-0.0004
2014-01-30,1.3556,1.3662,1.3666,1.3543,-0.0078
2014-01-31,1.3487,1.3557,1.357,1.348,-0.0051
2014-02-03,1.3525,1.3493,1.3536,1.3476,0.0028
2014-02-04,1.3519,1.3525,1.3539,1.3494,-0.0004
2014-02-05,1.3533,1.3519,1.3555,1.3498,0.001
2014-02-06,1.359,1.3533,1.3621,1.3485,0.0042
2014-02-07,1.3635,1.359,1.3642,1.3553,0.0033
2014-02-10,1.3647,1.3634,1.3653,1.3609,0.0009
2014-02-11,1.3639,1.3648,1.3686,1.3631,-0.0006
2014-02-12,1.3594,1.3639,1.3655,1.3563,-0.0033
2014-02-13,1.3681,1.3594,1.3694,1.3586,0.0064
2014-02-14,1.3693,1.3681,1.3718,1.3674,0.0009
2014-02-17,1.3708,1.3688,1.3725,1.3687,0.0011
2014-02-18,1.3758,1.3706,1.377,1.3694,0.0036
2014-02-19,1.3733,1.3757,1.3774,1.3724,-0.0018
2014-02-20,1.3718,1.3733,1.3763,1.3685,-0.0011
2014-02-21,1.374,1.372,1.376,1.3704,0.0016
2014-02-24,1.3735,1.3735,1.377,1.3708,-0.0004
2014-02-25,1.3746,1.3735,1.3767,1.3714,0.0008
2014-02-26,1.3688,1.3744,1.3758,1.3661,-0.0042
2014-02-27,1.3709,1.3687,1.3727,1.3642,0.0015
2014-02-28,1.3803,1.3708,1.3824,1.3693,0.0069
2014-03-03,1.3735,1.3786,1.3793,1.3725,-0.0049
2014-03-04,1.3744,1.3735,1.3782,1.372,0.0007
2014-03-05,1.3733,1.3742,1.3746,1.3706,-0.0008
2014-03-06,1.3861,1.3734,1.3874,1.3723,0.0093
2014-03-07,1.3878,1.386,1.3917,1.3854,0.0012
2014-03-10,1.3877,1.3875,1.3898,1.3861,-0.0001
2014-03-11,1.3859,1.3874,1.388,1.3832,-0.0013
2014-03-12,1.3904,1.3859,1.3914,1.3841,0.0032
2014-03-13,1.3869,1.3903,1.3968,1.3844,-0.0025
2014-03-14,1.3914,1.3866,1.3937,1.3847,0.0032
2014-03-17,1.3922,1.3911,1.3949,1.3879,0.0006
2014-03-18,1.3934,1.3921,1.3942,1.388,0.0009
2014-03-19,1.3833,1.3933,1.3935,1.3809,-0.0072
2014-03-20,1.3779,1.3832,1.3845,1.3749,-0.0039
2014-03-21,1.3794,1.3779,1.3813,1.3767,0.0011
2014-03-24,1.3839,1.3792,1.3876,1.376,0.0033
2014-03-25,1.3827,1.3839,1.3848,1.375,-0.0009
2014-03-26,1.3783,1.3827,1.3829,1.3777,-0.0032
2014-03-27,1.374,1.3781,1.3798,1.3729,-0.0031
2014-03-28,1.3753,1.374,1.3773,1.3705,0.0009
2014-03-31,1.3771,1.3755,1.3807,1.3734,0.0013
