Date,Price,Open,High,Low,Change
2000-01-03,1.0265,1.0052,1.0282,1.005,0.0189
2000-01-04,1.0312,1.0244,1.0347,1.0213,0.0046
2000-01-05,1.0316,1.0295,1.0404,1.0282,0.0004
2000-01-06,1.0324,1.0325,1.0419,1.0275,0.0008
2000-01-07,1.0292,1.0327,1.0333,1.0252,-0.0031
2000-01-10,1.0257,1.0288,1.0303,1.0213,-0.0034
2000-01-11,1.0335,1.0259,1.0342,1.0241,0.0076
2000-01-12,1.0312,1.0322,1.037,1.0258,-0.0022
2000-01-13,1.0254,1.0311,1.032,1.0237,-0.0056
2000-01-14,1.0128,1.0261,1.0273,1.0111,-0.0123
2000-01-17,1.0118,1.0128,1.0149,1.0069,-0.001
2000-01-18,1.0131,1.0123,1.0143,1.0072,0.0013
2000-01-19,1.0122,1.0139,1.0166,1.0086,-0.0009
2000-01-20,1.0175,1.0137,1.0189,1.0072,0.0052
2000-01-21,1.0091,1.0173,1.0193,1.0049,-0.0083
2000-01-24,1.0078,1.0023,1.0078,0.9998,-0.0013
2000-01-25,1.0006,1.0076,1.0099,0.9989,-0.0071
2000-01-26,1.0012,1.0013,1.0057,0.9993,0.0006
2000-01-27,0.9885,1.0019,1.003,0.9869,-0.0127
2000-01-28,0.975,0.988,0.9895,0.9738,-0.0137
2000-01-31,0.9695,0.9779,0.9829,0.967,-0.0056
2000-02-01,0.9724,0.9704,0.9783,0.9663,0.003
2000-02-02,0.9765,0.9717,0.9808,0.9689,0.0042
2000-02-03,0.9903,0.9763,0.9949,0.9709,0.0141
2000-02-04,0.9828,0.9909,0.9941,0.9748,-0.0076
2000-02-07,0.981,0.9836,0.9836,0.9754,-0.0018
2000-02-08,0.9858,0.9814,0.9916,0.9788,0.0049
2000-02-09,0.994,0.9857,0.9966,0.9851,0.0083
2000-02-10,0.9852,0.9942,0.996,0.983,-0.0089
2000-02-11,0.9869,0.9854,0.9879,0.9789,0.0017
2000-02-14,0.9787,0.9863,0.9922,0.9775,-0.0083
2000-02-15,0.9814,0.9781,0.9863,0.9764,0.0028
2000-02-16,0.9868,0.9811,0.9876,0.979,0.0055
2000-02-17,0.9879,0.9865,0.9959,0.9838,0.0011
2000-02-18,0.9865,0.988,0.9903,0.9807,-0.0014
2000-02-21,0.9874,0.9848,0.989,0.9843,0.0009
2000-02-22,1.004,0.9875,1.008,0.9872,0.0168
2000-02-23,1.003,1.0039,1.0091,1.0009,-0.001
2000-02-24,0.9931,1.0036,1.0042,0.9889,-0.0099
2000-02-25,0.9745,0.9929,0.9929,0.9723,-0.0187
2000-02-28,0.9719,0.9748,0.9748,0.9392,-0.0027
2000-02-29,0.9647,0.9717,0.9865,0.9616,-0.0074
2000-03-01,0.9738,0.9647,0.977,0.9627,0.0094
2000-03-02,0.9644,0.9734,0.9796,0.9614,-0.0097
2000-03-03,0.9599,0.9647,0.9679,0.9587,-0.0047
2000-03-06,0.9594,0.9576,0.9672,0.9557,-0.0005
2000-03-07,0.9598,0.959,0.9627,0.9526,0.0004
2000-03-08,0.9608,0.9584,0.9634,0.9523,0.001
2000-03-09,0.9664,0.9607,0.9702,0.9595,0.0058
2000-03-10,0.963,0.9667,0.9687,0.9597,-0.0035
2000-03-13,0.9647,0.9627,0.973,0.9617,0.0018
2000-03-14,0.9683,0.9637,0.9684,0.9595,0.0037
2000-03-15,0.9675,0.9685,0.9714,0.964,-0.0008
2000-03-16,0.9715,0.9662,0.9741,0.9646,0.0041
2000-03-17,0.9724,0.9699,0.973,0.9659,0.0009
2000-03-20,0.9732,0.9728,0.9748,0.9684,0.0008
2000-03-21,0.9641,0.9733,0.9738,0.9633,-0.0094
2000-03-22,0.9612,0.9615,0.9632,0.9576,-0.003
2000-03-23,0.9718,0.9607,0.9729,0.9601,0.011
2000-03-24,0.9771,0.9716,0.9778,0.9671,0.0055
2000-03-27,0.9667,0.9771,0.979,0.9632,-0.0106
2000-03-28,0.9607,0.9672,0.9703,0.9601,-0.0062
2000-03-29,0.9516,0.9603,0.9605,0.9478,-0.0095
2000-03-30,0.9611,0.951,0.9623,0.9507,0.01
2000-03-31,0.9562,0.9612,0.9628,0.9526,-0.0051
2000-04-03,0.955,0.9563,0.9606,0.9503,-0.0013
2000-04-04,0.9604,0.9538,0.9752,0.9513,0.0057
2000-04-05,0.9623,0.9614,0.9712,0.9592,0.002
2000-04-06,0.9579,0.9604,0.9645,0.9565,-0.0046
2000-04-07,0.9549,0.9583,0.9617,0.9536,-0.0031
2000-04-10,0.9627,0.9546,0.9629,0.9532,0.0082
2000-04-11,0.9591,0.9625,0.9649,0.9563,-0.0037
2000-04-12,0.9588,0.9587,0.9602,0.952,-0.0003
2000-04-13,0.9525,0.9589,0.9596,0.9514,-0.0066
2000-04-14,0.9623,0.9528,0.9625,0.9509,0.0103
2000-04-17,0.9524,0.9644,0.9673,0.9517,-0.0103
2000-04-18,0.9459,0.9523,0.9526,0.944,-0.0068
2000-04-19,0.9405,0.9452,0.949,0.9354,-0.0057
2000-04-20,0.9379,0.9403,0.9425,0.9348,-0.0028
2000-04-21,0.9383,0.9381,0.9398,0.9362,0.0004
2000-04-24,0.9385,0.9383,0.9451,0.9367,0.0002
2000-04-25,0.921,0.9389,0.9397,0.9162,-0.0186
2000-04-26,0.9238,0.9211,0.9253,0.9174,0.003
2000-04-27,0.91,0.9242,0.9252,0.9061,-0.0149
2000-04-28,0.9123,0.9103,0.9143,0.9029,0.0025
2000-05-01,0.916,0.9121,0.9174,0.9071,0.0041
2000-05-02,0.9101,0.9153,0.9178,0.9033,-0.0064
2000-05-03,0.8958,0.91,0.9109,0.8883,-0.0157
2000-05-04,0.8909,0.8956,0.8975,0.8846,-0.0055
2000-05-05,0.8969,0.891,0.9013,0.8901,0.0067
2000-05-08,0.8975,0.8964,0.9047,0.8914,0.0007
2000-05-09,0.9076,0.897,0.9081,0.8944,0.0113
2000-05-10,0.9067,0.9089,0.9129,0.9047,-0.001
2000-05-11,0.9016,0.9037,0.9111,0.899,-0.0056
2000-05-12,0.9199,0.9014,0.9201,0.8977,0.0203
2000-05-15,0.9117,0.9177,0.9194,0.9111,-0.0089
2000-05-16,0.9004,0.9072,0.9108,0.8994,-0.0124
2000-05-17,0.8953,0.9006,0.9032,0.8888,-0.0057
2000-05-18,0.8946,0.8951,0.8975,0.8902,-0.0008
2000-05-19,0.8974,0.8949,0.8999,0.8845,0.0031
2000-05-22,0.9029,0.8975,0.9073,0.8953,0.0061
2000-05-23,0.9077,0.9026,0.9158,0.9019,0.0053
2000-05-24,0.9032,0.907,0.9129,0.9026,-0.005
2000-05-25,0.9127,0.9032,0.9138,0.8977,0.0105
2000-05-26,0.9312,0.9129,0.9344,0.911,0.0203
2000-05-29,0.9266,0.9324,0.9335,0.9235,-0.0049
2000-05-30,0.93,0.927,0.9412,0.9238,0.0037
2000-05-31,0.9379,0.9292,0.9384,0.9257,0.0085
2000-06-01,0.9315,0.9371,0.938,0.9283,-0.0068
2000-06-02,0.9465,0.9314,0.9506,0.9294,0.0161
2000-06-05,0.948,0.9464,0.9494,0.9411,0.0016
2000-06-06,0.9546,0.9466,0.9603,0.9449,0.007
2000-06-07,0.962,0.9543,0.9635,0.9533,0.0078
2000-06-08,0.9562,0.9624,0.9704,0.9507,-0.006
2000-06-09,0.9532,0.9546,0.9571,0.9459,-0.0031
2000-06-12,0.9535,0.9526,0.9563,0.9489,0.0003
2000-06-13,0.9592,0.9537,0.9651,0.952,0.006
2000-06-14,0.958,0.9587,0.9657,0.9567,-0.0013
2000-06-15,0.9544,0.9573,0.9606,0.95,-0.0038
2000-06-16,0.9648,0.9545,0.966,0.9496,0.0109
2000-06-19,0.9569,0.9636,0.9696,0.9562,-0.0082
2000-06-20,0.9545,0.9568,0.9623,0.9528,-0.0025
2000-06-21,0.9444,0.9542,0.9546,0.943,-0.0106
2000-06-22,0.9359,0.9452,0.9475,0.9344,-0.009
2000-06-23,0.936,0.9359,0.9431,0.9339,0.0001
2000-06-26,0.937,0.9365,0.94,0.9299,0.0011
2000-06-27,0.946,0.937,0.9471,0.9353,0.0096
2000-06-28,0.9417,0.9455,0.9473,0.94,-0.0045
2000-06-29,0.952,0.9417,0.9539,0.9414,0.0109
