Date,Price,Open,High,Low,Change
2014-01-01,1.6566,1.6559,1.658,1.6528,0.0005
2014-01-02,1.6454,1.6566,1.6606,1.6415,-0.0068
2014-01-03,1.6416,1.6454,1.6477,1.6397,-0.0023
2014-01-06,1.6406,1.641,1.6435,1.6338,-0.0006
2014-01-07,1.6403,1.6406,1.644,1.6374,-0.0002
2014-01-08,1.6448,1.6403,1.6472,1.6376,0.0027
2014-01-09,1.6481,1.6448,1.6497,1.6441,0.002
2014-01-10,1.6482,1.6482,1.6521,1.6402,0.0001
2014-01-13,1.6383,1.6479,1.6509,1.6347,-0.006
2014-01-14,1.6441,1.6385,1.6466,1.6368,0.0035
2014-01-15,1.6371,1.6439,1.6446,1.6324,-0.0043
2014-01-16,1.6354,1.6371,1.6382,1.6317,-0.001
2014-01-17,1.6424,1.6357,1.6461,1.6312,0.0043
2014-01-20,1.6431,1.6421,1.6454,1.6397,0.0004
2014-01-21,1.6476,1.643,1.6486,1.6399,0.0027
2014-01-22,1.6575,1.6474,1.6586,1.6449,0.006
2014-01-23,1.6637,1.6575,1.6644,1.6555,0.0037
2014-01-24,1.6483,1.6639,1.667,1.648,-0.0093
2014-01-27,1.6585,1.6481,1.6589,1.6473,0.0062
2014-01-28,1.6579,1.6586,1.6626,1.6536,-0.0004
2014-01-29,1.6562,1.6578,1.6609,1.6527,-0.001
2014-01-30,1.6485,1.6561,1.6567,1.6444,-0.0046
2014-01-31,1.6435,1.6488,1.65,1.6429,-0.003
2014-02-03,1.6305,1.6445,1.6446,1.6288,-0.0079
2014-02-04,1.6326,1.6307,1.6345,1.6256,0.0013
2014-02-05,1.6309,1.6326,1.6343,1.6252,-0.001
2014-02-06,1.6322,1.6311,1.6351,1.6273,0.0008
2014-02-07,1.6412,1.6324,1.642,1.63,0.0055
2014-02-10,1.6401,1.6411,1.6429,1.6381,-0.0007
2014-02-11,1.645,1.6401,1.6489,1.6392,0.003
2014-02-12,1.6595,1.6452,1.6601,1.6425,0.0088
2014-02-13,1.666,1.6595,1.6675,1.6593,0.0039
2014-02-14,1.6747,1.666,1.6757,1.6643,0.0052
2014-02-17,1.6715,1.6744,1.6824,1.6694,-0.0019
2014-02-18,1.6684,1.6715,1.6742,1.6655,-0.0019
2014-02-19,1.6681,1.6683,1.6734,1.6637,-0.0002
2014-02-20,1.665,1.6679,1.6698,1.6625,-0.0019
2014-02-21,1.6616,1.6652,1.6726,1.6612,-0.002
2014-02-24,1.6656,1.662,1.6679,1.6582,0.0024
2014-02-25,1.6681,1.6656,1.6728,1.6641,0.0015
2014-02-26,1.6673,1.6677,1.6702,1.662,-0.0005
2014-02-27,1.6688,1.6675,1.67,1.6618,0.0009
2014-02-28,1.6745,1.6687,1.6771,1.6677,0.0034
2014-03-03,1.6667,1.6747,1.6752,1.6654,-0.0047
2014-03-04,1.6664,1.6667,1.6718,1.664,-0.0002
2014-03-05,1.6723,1.6664,1.6743,1.6656,0.0035
2014-03-06,1.674,1.6723,1.6778,1.6685,0.001
2014-03-07,1.6713,1.674,1.6787,1.6707,-0.0016
2014-03-10,1.6646,1.672,1.675,1.6623,-0.004
2014-03-11,1.6617,1.6646,1.6655,1.6596,-0.0017
2014-03-12,1.662,1.6618,1.664,1.657,0.0002
2014-03-13,1.6625,1.6618,1.6717,1.6605,0.0003
2014-03-14,1.6646,1.6627,1.6652,1.6588,0.0013
2014-03-17,1.6637,1.6644,1.6669,1.6604,-0.0005
2014-03-18,1.6593,1.6635,1.6648,1.6544,-0.0026
2014-03-19,1.6542,1.6593,1.6655,1.6508,-0.0031
2014-03-20,1.6505,1.6543,1.657,1.6481,-0.0022
2014-03-21,1.6486,1.6507,1.6522,1.6475,-0.0012
2014-03-24,1.6498,1.649,1.6538,1.646,0.0007
2014-03-25,1.6529,1.6498,1.6551,1.6481,0.0019
2014-03-26,1.6587,1.6528,1.6599,1.6509,0.0035
2014-03-27,1.6612,1.6584,1.665,1.6555,0.0015
2014-03-28,1.6638,1.6612,1.6653,1.6599,0.0016
2014-03-31,1.6663,1.665,1.6686,1.6612,0.0015
2014-04-01,1.6629,1.666,1.6679,1.6616,-0.002
2014-04-02,1.6627,1.6627,1.6664,1.6618,-0.0001
2014-04-03,1.6599,1.6627,1.6662,1.657,-0.0017
2014-04-04,1.658,1.6597,1.6606,1.6553,-0.0011
2014-04-07,1.661,1.6574,1.6625,1.6564,0.0018
2014-04-08,1.6748,1.6608,1.6756,1.6603,0.0083
2014-04-09,1.6793,1.6747,1.6801,1.6723,0.0027
2014-04-10,1.6785,1.6795,1.6822,1.6755,-0.0005
2014-04-11,1.6734,1.6785,1.6791,1.6717,-0.003
2014-04-14,1.673,1.6709,1.6745,1.6696,-0.0002
2014-04-15,1.673,1.673,1.675,1.6682,0
2014-04-16,1.6798,1.6731,1.682,1.6719,0.0041
2014-04-17,1.6793,1.6796,1.6843,1.6786,-0.0003
2014-04-18,1.6808,1.6793,1.6808,1.6772,0.0009
2014-04-21,1.6792,1.6787,1.682,1.6782,-0.001
2014-04-22,1.6824,1.6791,1.6841,1.6784,0.0019
2014-04-23,1.6783,1.6824,1.6838,1.6763,-0.0024
2014-04-24,1.6805,1.6784,1.6809,1.6765,0.0013
2014-04-25,1.6805,1.6805,1.683,1.679,0
2014-04-28,1.6808,1.6791,1.6856,1.6776,0.0002
2014-04-29,1.6827,1.6808,1.685,1.6793,0.0011
2014-04-30,1.6873,1.683,1.6903,1.6807,0.0027
2014-05-01,1.6893,1.6874,1.692,1.6869,0.0012
2014-05-02,1.6867,1.6892,1.6898,1.6822,-0.0015
2014-05-05,1.6865,1.687,1.689,1.6855,-0.0001
2014-05-06,1.6978,1.6867,1.6997,1.6864,0.0067
2014-05-07,1.6954,1.6975,1.6988,1.6951,-0.0014
2014-05-08,1.6933,1.6955,1.6977,1.6923,-0.0012
2014-05-09,1.6851,1.6935,1.6939,1.6832,-0.0048
2014-05-12,1.6869,1.6839,1.6904,1.6835,0.0011
2014-05-13,1.6826,1.6867,1.6883,1.6817,-0.0025
2014-05-14,1.6766,1.6824,1.6875,1.6751,-0.0036
2014-05-15,1.6789,1.6767,1.6807,1.6731,0.0014
2014-05-16,1.6816,1.6791,1.6841,1.6784,0.0016
2014-05-19,1.6814,1.6812,1.6846,1.6805,-0.0001
2014-05-20,1.6838,1.6813,1.6864,1.6801,0.0014
2014-05-21,1.6902,1.6839,1.6923,1.6831,0.0038
2014-05-22,1.6871,1.69,1.6919,1.6852,-0.0018
2014-05-23,1.6833,1.6871,1.6877,1.6812,-0.0023
2014-05-26,1.6843,1.6836,1.6855,1.6826,0.0006
2014-05-27,1.681,1.6841,1.6883,1.6782,-0.002
2014-05-28,1.6711,1.681,1.6816,1.6698,-0.0059
2014-05-29,1.6717,1.6711,1.6742,1.6692,0.0004
2014-05-30,1.6752,1.6717,1.6779,1.6713,0.0021
2014-06-02,1.6746,1.676,1.6771,1.6724,-0.0004
2014-06-03,1.6749,1.6745,1.6782,1.6728,0.0002
2014-06-04,1.6737,1.675,1.677,1.6698,-0.0007
2014-06-05,1.682,1.6736,1.6824,1.6721,0.005
2014-06-06,1.6803,1.6822,1.6846,1.6782,-0.001
2014-06-09,1.6803,1.6797,1.6835,1.6784,0
2014-06-10,1.6756,1.6801,1.6818,1.6742,-0.0028
2014-06-11,1.6788,1.6757,1.6811,1.6738,0.0019
2014-06-12,1.6928,1.6787,1.693,1.6784,0.0083
2014-06-13,1.6965,1.6929,1.6994,1.6922,0.0022
2014-06-16,1.6984,1.697,1.7012,1.6959,0.0011
2014-06-17,1.6966,1.6986,1.6992,1.6939,-0.0011
2014-06-18,1.6993,1.6965,1.7002,1.6925,0.0016
2014-06-19,1.7041,1.6993,1.7064,1.6982,0.0028
2014-06-20,1.7012,1.7039,1.7062,1.7003,-0.0017
2014-06-23,1.7027,1.7015,1.7052,1.7002,0.0009
2014-06-24,1.6986,1.7029,1.7033,1.6965,-0.0024
2014-06-25,1.6984,1.6984,1.7005,1.6949,-0.0001
2014-06-26,1.7027,1.6986,1.7042,1.6971,0.0025
2014-06-27,1.7035,1.7026,1.7053,1.7007,0.0005
2014-06-30,1.7106,1.7021,1.7118,1.7008,0.0042
2014-07-01,1.715,1.7108,1.7168,1.7095,0.0026
2014-07-02,1.7166,1.7151,1.7179,1.7141,0.0009
2014-07-03,1.7155,1.7167,1.717,1.7106,-0.0006
2014-07-04,1.7159,1.7155,1.718,1.713,0.0002
2014-07-07,1.7127,1.7162,1.7171,1.7107,-0.0019
2014-07-08,1.7132,1.7127,1.7148,1.7083,0.0003
